	RAA_pT	RAA_pTbins	RAA_y	RAA_y_err
0	106.0	6.0	0.4381	0.017142345230451987
1	118.5	6.5	0.4633	0.017404022523543228
2	133.0	8.0	0.4847	0.017635759127409285
3	149.5	8.5	0.5023	0.017770199773778573
4	167.5	9.5	0.5151	0.017795224078386875
5	188.0	11.0	0.535	0.01832184488527288
6	211.0	12.0	0.557	0.020437465596301316
7	237.0	14.0	0.572	0.02169539121564762
8	266.0	15.0	0.561	0.02242074931843269
9	298.5	17.5	0.563	0.02378423847845459
10	335.0	19.0	0.589	0.02845505227547474
11	376.0	22.0	0.589	0.03459320742573605
12	449.5	51.5	0.593	0.037599069137413496
13	565.5	64.5	0.56	0.06461957907631402
14	814.5	184.5	0.62	0.16178902929432515
